193.108.112.65:443#AL [290.51ms 5.53Mbps]
185.75.243.102:443#AL [290.79ms 5.65Mbps]
131.196.254.151:443#MX [291.3ms 4.54Mbps]
132.145.91.181:8443#KR [291.65ms 1.12Mbps]
131.196.254.211:443#MX [293.25ms 4.41Mbps]
91.148.134.83:8443#CO [293.77ms 5.52Mbps]
45.89.105.211:443#IN [297.1ms 0.0Mbps]
194.32.107.150:443#NO [300.03ms 4.18Mbps]
84.235.245.65:2096#AE [300.66ms 0.0Mbps]
91.231.182.28:2083#UA [300.79ms 4.59Mbps]
194.5.98.105:2053#NO [302.12ms 4.76Mbps]
194.5.98.105:8443#NO [302.28ms 0.94Mbps]
38.180.108.148:443#HU [302.63ms 3.46Mbps]
193.24.232.154:2053#CY [304.64ms 5.49Mbps]
64.110.71.6:443#KR [307.58ms 0.22Mbps]
38.180.225.166:443#HU [307.72ms 1.81Mbps]
91.132.132.233:443#AM [311.53ms 7.77Mbps]
202.10.40.237:443#ID [312.23ms 2.58Mbps]
91.231.182.28:2053#UA [312.32ms 2.86Mbps]
37.9.171.189:443#SK [313.39ms 6.41Mbps]
171.33.241.51:2053#UA [314.25ms 0.99Mbps]
194.58.66.220:443#SI [314.26ms 7.1Mbps]
45.89.107.146:443#MY [316.65ms 4.34Mbps]
94.141.97.10:443#BR [318.37ms 3.64Mbps]
109.61.42.37:443#AE [322.23ms 0.0Mbps]
130.162.132.38:443#KR [323.39ms 0.0Mbps]
89.185.82.124:8443#MK [327.14ms 6.03Mbps]
216.238.110.198:8443#BR [327.88ms 4.53Mbps]
94.131.19.19:2053#BR [327.91ms 5.02Mbps]
38.180.79.9:443#BR [329.47ms 3.8Mbps]
206.53.48.65:443#GE [329.54ms 1.15Mbps]
146.235.59.153:2053#BR [329.62ms 0.09Mbps]
152.67.41.217:443#BR [330.88ms 4.67Mbps]
216.238.116.196:8443#BR [332.1ms 4.33Mbps]
131.186.27.112:2096#KR [332.24ms 0.0Mbps]
146.235.59.153:8443#BR [335.48ms 0.13Mbps]
